Cohort,AUROC,Sensitivity,Specificity,F1,ECE,Brier,N
Internal Test,0.9778391259756889,0.7864768683274022,0.9909752228846469,0.44332998996990974,0.00541806530545934,0.014897182576236803,55130
PAD-UFES-20 (External),0.6450589851325146,0.4807692307692308,0.7310924369747899,0.5882352941176471,0.16500839527229286,0.5640812928532337,654
