Cohort,Samples (N),Temperature (T),Pre-Calibration ECE,Post-Calibration ECE,ECE Improvement (Delta),Pre-Calibration Brier,Post-Calibration Brier
Internal Test (Dermoscopic),55130,1.1799,0.0076,0.0054,-0.0022,0.0152,0.0149
External Test (PAD-UFES-20 Smartphone),654,1.1799,0.1782,0.165,-0.0132,0.5824,0.5641
