Model,AUROC,F1
resnet50,0.977115755329303,0.2650469353948095
efficientnet_b0,0.9756793302920492,0.24123711340206186
mobilenetv3,0.9805053589703314,0.32842105263157895
convnext_tiny,0.975051887845563,0.36583400483481066
